Date,Colombo Wholesale Price,Colombo Retail Price,Dampulla Wholesale Price,Dampulla Retail Price,Jaffna Wholesale Price,Jaffna Retail Price,Vavuniya Wholesale Price,Vavuniya Retail Price,Kilinochchi Wholesale Price,Kilinochchi Retail Price,Mullaitivu Wholesale Price,Mullaitivu Retail Price,Galle Wholesale Price,Galle Retail Price,Kandy Wholesale Price,Kandy Retail Price,Gampaha Wholesale Price,Gampaha Retail Price,Kurunegala Wholesale Price,Kurunegala Retail Price,Anuradhapura Wholesale Price,Anuradhapura Retail Price,Matara Wholesale Price,Matara Retail Price,Polonnaruwa Wholesale Price,Polonnaruwa Retail Price,Badulla Wholesale Price,Badulla Retail Price,Mannar Wholesale Price,Mannar Retail Price,Kalutara Wholesale Price,Kalutara Retail Price,Batticaloa Wholesale Price,Batticaloa Retail Price,Ratnapura Wholesale Price,Ratnapura Retail Price,Trincomalee Wholesale Price,Trincomalee Retail Price,Hambantota Wholesale Price,Hambantota Retail Price,Nuwara Eliya Wholesale Price,Nuwara Eliya Retail Price,Kegalle Wholesale Price,Kegalle Retail Price,Monaragala Wholesale Price,Monaragala Retail Price,Ampara Wholesale Price,Ampara Retail Price,Puttalam Wholesale Price,Puttalam Retail Price
Date,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-04-24,Rs. 55,Rs. 140,Rs. 45,Rs. 110,Rs. 70,Rs. 65,-,Rs. 150,-,Rs. 190,-,-,-,Rs. 130,Rs. 55,Rs. 110,-,Rs. 130,-,Rs. 140,-,Rs. 130,-,Rs. 95,-,Rs. 125,-,Rs. 140,-,Rs. 140,-,Rs. 130,-,Rs. 120,-,Rs. 115,-,Rs. 165,Rs. 95,Rs. 135,Rs. 70,Rs. 155,-,Rs. 190,-,Rs. 180,-,Rs. 120,-,Rs. 180
2023-04-03,Rs. 50,-,Rs. 33,-,-,-,-,-,-,-,-,-,-,-,Rs. 55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Rs. 70,-,Rs. 38,-,-,-,-,-,-,-,-,-
2023-03-27,Rs. 50,Rs. 120,Rs. 35,Rs. 130,Rs. 70,Rs. 65,-,Rs. 150,-,Rs. 145,-,-,-,Rs. 90,Rs. 55,Rs. 110,-,Rs. 140,-,Rs. 140,-,Rs. 120,-,Rs. 110,-,Rs. 95,-,Rs. 135,-,Rs. 140,-,Rs. 130,-,Rs. 170,-,Rs. 125,-,Rs. 145,Rs. 75,Rs. 110,Rs. 40,Rs. 110,-,Rs. 150,-,Rs. 150,-,Rs. 140,-,Rs. 200
2023-03-20,Rs. 50,Rs. 150,Rs. 33,Rs. 110,Rs. 70,Rs. 85,-,Rs. 135,-,Rs. 145,-,-,-,Rs. 120,Rs. 45,Rs. 110,-,Rs. 120,-,Rs. 170,-,Rs. 130,-,Rs. 130,-,Rs. 100,-,Rs. 150,-,Rs. 140,-,Rs. 130,-,Rs. 190,-,Rs. 150,-,Rs. 140,Rs. 75,Rs. 115,Rs. 63,Rs. 145,-,Rs. 150,-,Rs. 140,-,Rs. 160,-,Rs. 195
2023-03-13,Rs. 60,Rs. 140,Rs. 48,Rs. 130,Rs. 130,Rs. 150,-,Rs. 140,-,Rs. 130,-,-,-,Rs. 190,Rs. 65,Rs. 130,-,Rs. 140,-,Rs. 170,-,Rs. 140,-,Rs. 150,-,Rs. 110,-,Rs. 170,-,Rs. 165,-,Rs. 130,-,Rs. 145,-,Rs. 190,-,Rs. 160,Rs. 75,Rs. 140,Rs. 75,Rs. 155,-,Rs. 150,-,Rs. 180,-,Rs. 180,-,Rs. 175
2023-03-06,Rs. 95,Rs. 170,Rs. 55,Rs. 170,Rs. 115,Rs. 125,-,Rs. 185,-,Rs. 190,-,-,-,Rs. 190,Rs. 75,Rs. 170,-,Rs. 180,-,Rs. 180,-,Rs. 150,-,Rs. 190,-,Rs. 110,-,Rs. 220,-,Rs. 190,-,Rs. 130,-,Rs. 170,-,Rs. 160,-,Rs. 173,Rs. 115,Rs. 180,Rs. 115,Rs. 190,-,Rs. 180,-,Rs. 190,-,Rs. 220,-,Rs. 180
2023-02-27,Rs. 115,Rs. 195,Rs. 60,Rs. 210,Rs. 115,Rs. 145,-,Rs. 165,-,Rs. 210,-,-,-,Rs. 190,Rs. 105,Rs. 190,-,Rs. 220,-,Rs. 190,-,Rs. 200,-,Rs. 190,-,Rs. 190,-,Rs. 220,-,Rs. 190,-,Rs. 210,-,Rs. 200,-,Rs. 200,-,Rs. 165,Rs. 135,Rs. 210,Rs. 105,Rs. 210,-,Rs. 180,-,Rs. 180,-,Rs. 220,-,Rs. 220
2023-02-20,Rs. 135,Rs. 240,Rs. 100,Rs. 210,Rs. 130,Rs. 150,-,Rs. 220,-,-,-,-,-,Rs. 190,Rs. 125,Rs. 220,-,Rs. 240,-,Rs. 230,-,Rs. 220,-,Rs. 220,-,Rs. 190,-,Rs. 230,-,Rs. 275,-,Rs. 210,-,Rs. 200,-,Rs. 200,-,Rs. 210,Rs. 160,Rs. 210,Rs. 165,Rs. 230,-,Rs. 230,-,Rs. 220,-,Rs. 230,-,Rs. 260
2023-02-13,Rs. 130,Rs. 220,Rs. 155,Rs. 190,Rs. 120,Rs. 140,-,Rs. 225,-,-,-,-,-,Rs. 220,Rs. 175,Rs. 290,-,Rs. 240,-,Rs. 180,-,Rs. 220,-,Rs. 210,-,Rs. 190,-,Rs. 230,-,Rs. 275,-,Rs. 190,-,Rs. 260,-,Rs. 200,-,Rs. 255,Rs. 165,Rs. 190,Rs. 110,Rs. 210,-,Rs. 230,-,Rs. 260,-,Rs. 220,-,Rs. 220
2023-02-06,Rs. 135,Rs. 200,Rs. 105,Rs. 180,Rs. 155,Rs. 170,-,Rs. 200,-,-,-,-,-,Rs. 150,Rs. 135,Rs. 250,-,Rs. 180,-,Rs. 170,-,Rs. 200,-,Rs. 200,-,Rs. 190,-,Rs. 220,-,Rs. 220,-,Rs. 170,-,Rs. 110,-,Rs. 165,-,Rs. 183,Rs. 160,Rs. 235,Rs. 125,Rs. 235,-,Rs. 170,-,Rs. 240,-,Rs. 220,-,Rs. 220
