year,month,location,wholesale_price,retail_price
2017,1,Keppetipola,45.42,98.00
2017,1,Kurunegala,,
2017,1,Ampara,,124.80
2017,1,Matale,,
2017,1,Vavuniya,,78.00
2017,1,Mannar,,116.67
2017,1,Trinco,,
2017,1,Matara,36.67,69.25
2017,1,Bandarawela,,
2017,1,Dehiattakandiya,,101.50
2017,1,Nikaweratiya,,103.00
2017,1,Embilipitiya,,102.80
2017,1,Dabulla,68.60,116.40
2017,1,Hanguranketha,,
2017,1,Galle,,119.50
2017,1,Thabuththegama,71.40,92.48
2017,1,Thissamaharama,52.00,121.20
2017,1,Kandy,79.52,114.40
2017,1,Polonnaruwa,,116.00
2017,1,Galenbidunuwewa,,
2017,1,Kilinochchi,,
2017,1,Kegalle,,126.00
2017,1,Nuwara Eliya,64.00,80.00
2017,1,Rathnapura,119.00,159.00
2017,1,Mullathivu,,
2017,1,Jaffna,74.00,130.67
2017,1,Puttalam,49.80,120.40
2017,1,Gampaha,,149.00
2017,1,Kaluthara,,148.40
2017,1,Batticaloa,,52.40
2017,1,Meegoda,92.47,137.80
2017,1,Badulla,80.60,120.00
2017,1,Hambanthota,75.40,112.00
2017,1,Monaragala,71.50,111.67
2017,1,Colombo,90.33,155.77
2017,1,Veyangoda,,
2017,1,Anuradapuraya,,133.60
2017,2,Keppetipola,,120.00
2017,2,Kurunegala,,
2017,2,Ampara,,133.00
2017,2,Matale,,
2017,2,Vavuniya,,
2017,2,Mannar,,123.33
2017,2,Trinco,,
2017,2,Matara,36.67,108.00
2017,2,Bandarawela,,
2017,2,Dehiattakandiya,,83.00
2017,2,Nikaweratiya,,100.00
2017,2,Embilipitiya,,126.63
2017,2,Dabulla,72.50,129.00
2017,2,Hanguranketha,68.75,88.67
2017,2,Galle,,110.63
2017,2,Thabuththegama,61.00,86.75
2017,2,Thissamaharama,77.00,109.75
2017,2,Kandy,83.80,130.00
2017,2,Polonnaruwa,,120.38
2017,2,Galenbidunuwewa,,
2017,2,Kilinochchi,,
2017,2,Kegalle,,130.00
2017,2,Nuwara Eliya,65.00,96.00
2017,2,Rathnapura,94.00,136.00
2017,2,Mullathivu,,
2017,2,Jaffna,72.50,80.00
2017,2,Puttalam,61.75,128.00
2017,2,Gampaha,,
2017,2,Kaluthara,,149.50
2017,2,Batticaloa,,51.00
2017,2,Meegoda,86.88,141.00
2017,2,Badulla,100.25,152.00
2017,2,Hambanthota,74.00,106.00
2017,2,Monaragala,91.25,139.17
2017,2,Colombo,89.37,160.07
2017,2,Veyangoda,,
2017,2,Anuradapuraya,,125.00
2017,3,Keppetipola,,86.00
2017,3,Kurunegala,,
2017,3,Ampara,,
2017,3,Matale,,
2017,3,Vavuniya,,
2017,3,Mannar,,63.33
2017,3,Trinco,,
2017,3,Matara,86.67,136.22
2017,3,Bandarawela,,
2017,3,Dehiattakandiya,,63.50
2017,3,Nikaweratiya,,67.33
2017,3,Embilipitiya,,71.29
2017,3,Dabulla,18.80,59.50
2017,3,Hanguranketha,35.08,55.17
2017,3,Galle,,89.38
2017,3,Thabuththegama,20.10,47.81
2017,3,Thissamaharama,29.75,47.50
2017,3,Kandy,32.50,64.50
2017,3,Polonnaruwa,,58.00
2017,3,Galenbidunuwewa,,
2017,3,Kilinochchi,,156.67
2017,3,Kegalle,,66.00
2017,3,Nuwara Eliya,40.00,61.50
2017,3,Rathnapura,,
2017,3,Mullathivu,,117.08
2017,3,Jaffna,,
2017,3,Puttalam,18.20,80.50
2017,3,Gampaha,,
2017,3,Kaluthara,,67.50
2017,3,Batticaloa,,49.00
2017,3,Meegoda,29.25,81.00
2017,3,Badulla,50.33,84.00
2017,3,Hambanthota,28.25,51.00
2017,3,Monaragala,37.78,80.00
2017,3,Colombo,26.15,100.67
2017,3,Veyangoda,,
2017,3,Anuradapuraya,,77.00
2017,4,Keppetipola,,
2017,4,Kurunegala,,
2017,4,Ampara,,
2017,4,Matale,,
2017,4,Vavuniya,,
2017,4,Mannar,,
2017,4,Trinco,,76.67
2017,4,Matara,50.83,72.67
2017,4,Bandarawela,,
2017,4,Dehiattakandiya,,72.00
2017,4,Nikaweratiya,,53.17
2017,4,Embilipitiya,,48.17
2017,4,Dabulla,16.60,56.00
2017,4,Hanguranketha,30.28,51.67
2017,4,Galle,,80.00
2017,4,Thabuththegama,19.30,40.00
2017,4,Thissamaharama,32.33,58.44
2017,4,Kandy,25.87,61.33
2017,4,Polonnaruwa,,46.00
2017,4,Galenbidunuwewa,,
2017,4,Kilinochchi,,
2017,4,Kegalle,,60.00
2017,4,Nuwara Eliya,44.33,74.00
2017,4,Rathnapura,,
2017,4,Mullathivu,,45.00
2017,4,Jaffna,,
2017,4,Puttalam,16.53,85.33
2017,4,Gampaha,,
2017,4,Kaluthara,,
2017,4,Batticaloa,,55.33
2017,4,Meegoda,28.00,76.00
2017,4,Badulla,39.00,93.33
2017,4,Hambanthota,24.00,40.67
2017,4,Monaragala,46.25,103.33
2017,4,Colombo,18.23,95.72
2017,4,Veyangoda,,
2017,4,Anuradapuraya,,77.33
2017,5,Keppetipola,,
2017,5,Kurunegala,,108.50
2017,5,Ampara,,122.00
2017,5,Matale,,
2017,5,Vavuniya,,
2017,5,Mannar,,
2017,5,Trinco,,76.67
2017,5,Matara,55.00,111.50
2017,5,Bandarawela,,
2017,5,Dehiattakandiya,,91.20
2017,5,Nikaweratiya,,84.38
2017,5,Embilipitiya,,85.33
2017,5,Dabulla,40.40,88.40
2017,5,Hanguranketha,63.70,84.17
2017,5,Galle,,100.50
2017,5,Thabuththegama,45.80,74.50
2017,5,Thissamaharama,44.60,72.80
2017,5,Kandy,59.88,101.60
2017,5,Polonnaruwa,,95.60
2017,5,Galenbidunuwewa,,
2017,5,Kilinochchi,,
2017,5,Kegalle,,105.20
2017,5,Nuwara Eliya,59.75,106.00
2017,5,Rathnapura,,
2017,5,Mullathivu,,102.08
2017,5,Jaffna,,
2017,5,Puttalam,40.40,112.00
2017,5,Gampaha,,102.50
2017,5,Kaluthara,,110.00
2017,5,Batticaloa,,55.00
2017,5,Meegoda,60.20,120.80
2017,5,Badulla,71.00,123.20
2017,5,Hambanthota,51.60,85.87
2017,5,Monaragala,82.78,133.33
2017,5,Colombo,60.83,132.69
2017,5,Veyangoda,,
2017,5,Anuradapuraya,,105.60
2017,6,Keppetipola,,
2017,6,Kurunegala,,103.00
2017,6,Ampara,,80.75
2017,6,Matale,,
2017,6,Vavuniya,,
2017,6,Mannar,,
2017,6,Trinco,,
2017,6,Matara,65.00,120.00
2017,6,Bandarawela,,
2017,6,Dehiattakandiya,,68.00
2017,6,Nikaweratiya,,68.13
2017,6,Embilipitiya,,84.64
2017,6,Dabulla,20.75,77.50
2017,6,Hanguranketha,41.06,58.88
2017,6,Galle,,123.75
2017,6,Thabuththegama,22.30,68.13
2017,6,Thissamaharama,,
2017,6,Kandy,36.20,60.00
2017,6,Polonnaruwa,,54.00
2017,6,Galenbidunuwewa,,
2017,6,Kilinochchi,,
2017,6,Kegalle,,77.00
2017,6,Nuwara Eliya,20.00,70.00
2017,6,Rathnapura,,
2017,6,Mullathivu,,60.00
2017,6,Jaffna,,
2017,6,Puttalam,27.90,104.00
2017,6,Gampaha,,110.00
2017,6,Kaluthara,,76.67
2017,6,Batticaloa,,52.00
2017,6,Meegoda,34.75,92.00
2017,6,Badulla,49.50,108.00
2017,6,Hambanthota,40.50,68.00
2017,6,Monaragala,55.00,88.33
2017,6,Colombo,44.79,119.75
2017,6,Veyangoda,,
2017,6,Anuradapuraya,,84.00
2017,7,Keppetipola,,
2017,7,Kurunegala,,84.80
2017,7,Ampara,,74.40
2017,7,Matale,,
2017,7,Vavuniya,37.00,70.00
2017,7,Mannar,,61.67
2017,7,Trinco,,83.33
2017,7,Matara,374.58,72.50
2017,7,Bandarawela,,
2017,7,Dehiattakandiya,,
2017,7,Nikaweratiya,,56.88
2017,7,Embilipitiya,,65.71
2017,7,Dabulla,16.28,60.80
2017,7,Hanguranketha,41.40,74.10
2017,7,Galle,,98.50
2017,7,Thabuththegama,12.88,44.25
2017,7,Thissamaharama,,
2017,7,Kandy,29.72,52.00
2017,7,Polonnaruwa,,59.50
2017,7,Galenbidunuwewa,,
2017,7,Kilinochchi,,
2017,7,Kegalle,,66.00
2017,7,Nuwara Eliya,25.96,62.00
2017,7,Rathnapura,,
2017,7,Mullathivu,,
2017,7,Jaffna,,
2017,7,Puttalam,11.65,78.00
2017,7,Gampaha,,92.00
2017,7,Kaluthara,,80.67
2017,7,Batticaloa,,52.00
2017,7,Meegoda,25.80,77.60
2017,7,Badulla,42.00,94.00
