year,month,location,wholesale_price,retail_price
2017,1,Keppetipola,45.42,98.0
2017,1,Kurunegala,,
2017,1,Ampara,73.91,124.8
2017,1,Matale,,
2017,1,Vavuniya,46.19,78.0
2017,1,Mannar,69.1,116.67
2017,1,Trinco,,
2017,1,Matara,36.67,69.25
2017,1,Bandarawela,,
2017,1,Dehiattakandiya,60.11,101.5
2017,1,Nikaweratiya,61.0,103.0
2017,1,Embilipitiya,60.88,102.8
2017,1,Dabulla,68.6,116.4
2017,1,Hanguranketha,,
2017,1,Galle,70.77,119.5
2017,1,Thabuththegama,71.4,92.48
2017,1,Thissamaharama,52.0,121.2
2017,1,Kandy,79.52,114.4
2017,1,Polonnaruwa,68.7,116.0
2017,1,Galenbidunuwewa,,
2017,1,Kilinochchi,,
2017,1,Kegalle,74.62,126.0
2017,1,Nuwara Eliya,64.0,80.0
2017,1,Rathnapura,119.0,159.0
2017,1,Mullathivu,,
2017,1,Jaffna,74.0,130.67
2017,1,Puttalam,49.8,120.4
2017,1,Gampaha,88.24,149.0
2017,1,Kaluthara,87.89,148.4
2017,1,Batticaloa,31.03,52.4
2017,1,Meegoda,92.47,137.8
2017,1,Badulla,80.6,120.0
2017,1,Hambanthota,75.4,112.0
2017,1,Monaragala,71.5,111.67
2017,1,Colombo,90.33,155.77
2017,1,Veyangoda,,
2017,1,Anuradapuraya,79.12,133.6
2017,2,Keppetipola,73.77,120.0
2017,2,Kurunegala,,
2017,2,Ampara,81.76,133.0
2017,2,Matale,,
2017,2,Vavuniya,,
2017,2,Mannar,75.81,123.33
2017,2,Trinco,,
2017,2,Matara,36.67,108.0
2017,2,Bandarawela,,
2017,2,Dehiattakandiya,51.02,83.0
2017,2,Nikaweratiya,61.47,100.0
2017,2,Embilipitiya,77.84,126.63
2017,2,Dabulla,72.5,129.0
2017,2,Hanguranketha,68.75,88.67
2017,2,Galle,68.01,110.63
2017,2,Thabuththegama,61.0,86.75
2017,2,Thissamaharama,77.0,109.75
2017,2,Kandy,83.8,130.0
2017,2,Polonnaruwa,74.0,120.38
2017,2,Galenbidunuwewa,,
2017,2,Kilinochchi,,
2017,2,Kegalle,79.92,130.0
2017,2,Nuwara Eliya,65.0,96.0
2017,2,Rathnapura,94.0,136.0
2017,2,Mullathivu,,
2017,2,Jaffna,72.5,80.0
2017,2,Puttalam,61.75,128.0
2017,2,Gampaha,,
2017,2,Kaluthara,91.9,149.5
2017,2,Batticaloa,31.35,51.0
2017,2,Meegoda,86.88,141.0
2017,2,Badulla,100.25,152.0
2017,2,Hambanthota,74.0,106.0
2017,2,Monaragala,91.25,139.17
2017,2,Colombo,89.37,160.07
2017,2,Veyangoda,,
2017,2,Anuradapuraya,76.84,125.0
2017,3,Keppetipola,36.73,86.0
2017,3,Kurunegala,,
2017,3,Ampara,,
2017,3,Matale,,
2017,3,Vavuniya,,
2017,3,Mannar,27.05,63.33
