Year,Location,1,2,3,4,5,6,7,8,9,10,11,12
2017,Colombo,155.77,160.07,100.67,95.72,132.69,119.75,94.30,90.69,105.05,108.19,111.84,127.52
2017,Gampaha,149.00,,,,102.50,110.00,92.00,73.00,87.00,87.20,97.00,107.00
2017,Kandy,114.40,130.00,64.50,61.33,101.60,60.00,52.00,74.50,81.50,88.00,88.00,89.00
2017,Dehiattakandiya,101.50,83.00,63.50,72.00,91.20,68.00,,,,,,
2017,Nuwara Eliya,80.00,96.00,61.50,74.00,106.00,70.00,62.00,64.00,69.00,77.20,89.50,90.00
2017,Hanguranketha,,88.67,55.17,51.67,84.17,58.88,74.10,59.44,81.13,83.80,80.44,107.69
2017,Kurunegala,,,,,108.50,103.00,84.80,76.00,85.50,102.00,114.75,90.00
2017,Nikaweratiya,103.00,100.00,67.33,53.17,84.38,68.13,56.88,63.13,79.38,,65.42,76.00
2017,Jaffna,130.67,80.00,,,,,,,,,,
2017,Meegoda,137.80,141.00,81.00,76.00,120.80,92.00,77.60,77.50,92.00,106.40,101.00,110.00
2017,Anuradapuraya,133.60,125.00,77.00,77.33,105.60,84.00,72.00,70.00,77.33,85.00,76.00,110.00
2017,Thabuththegama,92.48,86.75,47.81,40.00,74.50,68.13,44.25,43.44,62.50,62.00,54.06,65.94
2017,Thissamaharama,121.20,109.75,47.50,58.44,72.80,,,43.67,60.69,58.00,57.00,70.50
2017,Polonnaruwa,116.00,120.38,58.00,46.00,95.60,54.00,59.50,50.75,69.00,75.20,67.50,81.75
2017,Kaluthara,148.40,149.50,67.50,,110.00,76.67,80.67,78.33,78.39,95.20,80.00,114.00
2017,Hambanthota,112.00,106.00,51.00,40.67,85.87,68.00,57.60,42.50,51.00,62.60,55.00,62.00
2017,Rathnapura,159.00,136.00,,,,,,62.00,62.00,71.60,63.50,
2017,Matara,69.25,108.00,136.22,72.67,111.50,120.00,72.50,68.33,73.00,73.00,81.67,116.67
2017,Embilipitiya,102.80,126.63,71.29,48.17,85.33,84.64,65.71,45.71,54.88,79.00,76.43,126.19
