Year,Location,1,2,3,4,5,6,7,8,9,10,11,12
2017,Colombo,90.33,89.37,26.15,18.23,60.83,44.79,21.75,27.74,41.67,40.08,37.71,55.80
2017,Kandy,79.52,83.80,32.50,25.87,59.88,36.20,29.72,35.75,45.25,40.12,46.25,54.25
2017,Nuwara Eliya,64.00,65.00,40.00,44.33,59.75,20.00,25.96,28.25,35.50,42.00,53.00,53.75
2017,Hanguranketha,,68.75,35.08,30.28,63.70,41.06,41.40,41.44,56.02,60.15,69.25,84.69
2017,Jaffna,74.00,72.50,,,,,,,,,,
2017,Meegoda,92.47,86.88,29.25,28.00,60.20,34.75,25.80,33.05,46.00,40.80,45.50,56.00
2017,Thabuththegama,71.40,61.00,20.10,19.30,45.80,22.30,12.88,20.65,34.50,29.48,31.60,39.85
2017,Thissamaharama,52.00,77.00,29.75,32.33,44.60,,,28.33,44.30,37.40,40.67,44.00
2017,Hambanthota,75.40,74.00,28.25,24.00,51.60,40.50,32.40,24.50,37.50,45.00,39.75,43.00
2017,Rathnapura,119.00,94.00,,,,,,44.17,50.00,56.80,52.00,
2017,Matara,36.67,36.67,86.67,50.83,55.00,65.00,374.58,40.56,41.67,45.67,53.33,76.67
2017,Badulla,80.60,100.25,50.33,39.00,71.00,49.50,42.00,35.50,48.25,60.50,53.50,61.25
2017,Vavuniya,,,,,,,37.00,38.58,68.39,68.63,43.04,51.67
2017,Keppetipola,45.42,,,,,,,,,,,
2017,Monaragala,71.50,91.25,37.78,46.25,82.78,55.00,31.42,40.00,56.67,51.08,65.42,70.00
2017,Dabulla,68.60,72.50,18.80,16.60,40.40,20.75,16.28,24.40,35.65,30.18,37.98,46.00
2017,Puttalam,49.80,61.75,18.20,16.53,40.40,27.90,11.65,25.15,32.35,31.40,30.75,34.25
2018,Colombo,50.25,52.29,43.65,46.58,58.56,38.65,29.11,12.15,27.29,48.00,51.98,32.75
2018,Kandy,50.60,53.75,42.50,50.00,57.50,36.60,37.52,24.00,30.50,46.40,57.75,39.36
2018,Nuwara Eliya,50.80,54.25,53.50,46.00,60.50,52.75,47.00,26.50,32.00,52.20,52.00,41.40
2018,Hanguranketha,52.75,89.44,54.77,44.25,53.63,49.35,52.72,46.19,36.00,53.80,64.31,48.40
2018,Jaffna,36.60,,,,,,,,,,,
2018,Meegoda,57.27,56.50,49.50,57.00,54.88,43.75,36.40,21.10,28.50,61.60,57.00,36.73
2018,Thabuththegama,45.20,39.50,32.67,43.80,42.75,23.75,19.28,11.05,17.25,38.40,33.00,24.75
2018,Thissamaharama,60.60,55.25,42.75,34.00,78.00,43.75,37.40,33.38,44.00,42.00,53.58,40.75
2018,Hambanthota,52.40,47.25,43.00,41.80,69.83,51.50,32.60,22.05,29.75,41.60,46.25,30.40
2018,Rathnapura,,,,,83.33,71.67,72.00,,,69.67,88.75,69.00
2018,Matara,73.20,65.83,63.33,61.67,56.67,75.00,57.25,39.17,35.63,42.50,63.33,63.33
2018,Badulla,69.00,63.00,60.50,75.00,88.25,49.00,55.00,32.75,38.75,61.60,65.50,42.80
2018,Vavuniya,64.20,41.04,45.60,43.33,61.50,44.00,39.97,32.25,34.43,45.40,62.25,40.80
2018,Monaragala,71.33,72.92,61.67,60.00,87.50,70.42,43.85,26.67,30.83,64.67,77.50,44.00
2018,Dabulla,44.04,44.75,37.65,47.60,39.13,28.90,21.52,10.30,19.90,41.00,44.85,32.36
2018,Puttalam,44.40,42.00,,33.50,41.75,32.50,27.00,12.85,15.20,38.84,45.25,23.20
2018,Trinco,,,,,,,,,,,,80.00
2019,Colombo,38.44,32.05,26.67,40.08,46.38,37.13,31.30,36.81,43.95,33.13,47.63,88.50
