year,month,location,wholesale_price,retail_price
2017,1,Galenbidunuwewa,,
2017,1,Keppetipola,,
2017,1,Puttalam,,
2017,1,Thabuththegama,,
2017,1,Embilipitiya,,
2017,1,Kandy,,
2017,1,Kaluthara,,
2017,1,Matara,,
2017,1,Vavuniya,,
2017,1,Anuradapuraya,,
2017,1,Gampaha,,
2017,1,Thissamaharama,,
2017,1,Rathnapura,,
2017,1,Kegalle,,
2017,1,Monaragala,,
2017,1,Badulla,,
2017,1,Meegoda,,
2017,1,Nikaweratiya,,
2017,1,Nuwara Eliya,,
2017,1,Galle,,
2017,1,Bandarawela,,
2017,1,Dabulla,,
2017,1,Mullathivu,,
2017,1,Polonnaruwa,,
2017,1,Jaffna,,
2017,1,Veyangoda,,
2017,1,Colombo,,
2017,1,Hanguranketha,,
2017,1,Mannar,,
2017,1,Kurunegala,,
2017,1,Matale,,
2017,1,Ampara,,
2017,1,Hambanthota,,
2017,1,Kilinochchi,,
2017,1,Batticaloa,,
2017,1,Dehiattakandiya,,
2017,1,Trinco,,
2017,2,Galenbidunuwewa,,
2017,2,Keppetipola,,
2017,2,Puttalam,,
2017,2,Thabuththegama,,
2017,2,Embilipitiya,,
2017,2,Kandy,,
2017,2,Kaluthara,,
2017,2,Matara,,
2017,2,Vavuniya,,
2017,2,Anuradapuraya,,
2017,2,Gampaha,,
2017,2,Thissamaharama,,
2017,2,Rathnapura,,
2017,2,Kegalle,,
2017,2,Monaragala,,
2017,2,Badulla,,
2017,2,Meegoda,,
2017,2,Nikaweratiya,,
2017,2,Nuwara Eliya,,
2017,2,Galle,,
2017,2,Bandarawela,,
2017,2,Dabulla,,
2017,2,Mullathivu,,
2017,2,Polonnaruwa,,
2017,2,Jaffna,,
2017,2,Veyangoda,,
2017,2,Colombo,,
2017,2,Hanguranketha,,
2017,2,Mannar,,
2017,2,Kurunegala,,
2017,2,Matale,,
2017,2,Ampara,,
2017,2,Hambanthota,,
2017,2,Kilinochchi,,
2017,2,Batticaloa,,
2017,2,Dehiattakandiya,,
2017,2,Trinco,,
2017,3,Galenbidunuwewa,,
2017,3,Keppetipola,,
2017,3,Puttalam,,
2017,3,Thabuththegama,,
2017,3,Embilipitiya,,
2017,3,Kandy,,
