Timestamp,Latitude,Longitude,Location,Elvation,Soil_pH,Soil_moisture,Soil_Condition,Treatment(pH)/Ton/per/acr),,,,,,,,,,,
9/20/2023,6.7056,80.3847,Rathnapura,130m,4.8,78%,Bad,None,,,,,,,,,,,
9/20/2023,6.7056,80.3847,Rathnapura,130m,6.1,50%,Good,None,,,,,,,,,,,
9/20/2023,6.7056,80.3847,Rathnapura,130m,7.3,81%,Bad,8.3,,,,,,,,,,,
9/20/2023,6.7056,80.3847,Rathnapura,130m,5.9,85%,Bad,None,,,,,,,,,,,
9/20/2023,6.7056,80.3847,Rathnapura,130m,3.3,83%,Bad,None,,,,,,,,,,,
9/20/2023,6.7056,80.3847,Rathnapura,130m,5.9,89%,Bad,None,,,,,,,,,,,
9/20/2023,6.7056,80.3847,Rathnapura,130m,3.4,65%,Bad,None,,,,,,,,,,,
9/20/2023,6.7056,80.3847,Rathnapura,130m,5.8,23%,Bad,None,,,,,,,,,,,
9/20/2023,6.7056,80.3847,Rathnapura,130m,5.7,45%,Bad,None,,,,,,,,,,,
9/20/2023,6.7056,80.3847,Rathnapura,130m,6,45%,Good,None,,,,,,,,,,,
9/20/2023,6.7056,80.3847,Rathnapura,130m,6,30%,Bad,4.2,,,,,,,,,,,
9/20/2023,6.7056,80.3847,Rathnapura,130m,5.1,86%,Bad,None,,,,,,,,,,,
9/20/2023,6.7056,80.3847,Rathnapura,130m,6,76%,Good,None,,,,,,,,,,,
9/20/2023,6.7056,80.3847,Rathnapura,130m,5.6,91%,Bad,None,,,,,,,,,,,
9/20/2023,6.7056,80.3847,Rathnapura,130m,5.7,93%,Bad,None,,,,,,,,,,,
9/20/2023,6.7056,80.3847,Rathnapura,130m,5.2,85%,Bad,5.1,,,,,,,,,,,
9/20/2023,6.7056,80.3847,Rathnapura,130m,6,50%,Good,4.6,,,,,,,,,,,
9/20/2023,6.7056,80.3847,Rathnapura,130m,6.1,58%,Good,6.4,,,,,,,,,,,
9/20/2023,6.7056,80.3847,Rathnapura,130m,5.9,45%,Good,None,,,,,,,,,,,
9/20/2023,6.7056,80.3847,Rathnapura,130m,6,65%,Good,None,,,,,,,,,,,
9/20/2023,6.7056,80.3847,Rathnapura,130m,6.4,78%,Good,None,,,,,,,,,,,
9/20/2023,6.7056,80.3847,Rathnapura,130m,5.4,65%,Bad,None,,,,,,,,,,,
9/20/2023,6.7056,80.3847,Rathnapura,130m,5.8,43%,Good,None,,,,,,,,,,,
9/20/2023,6.7056,80.3847,Rathnapura,130m,5.9,93%,Bad,None,,,,,,,,,,,
9/20/2023,6.7056,80.3847,Rathnapura,130m,6.6,25%,Bad,None,,,,,,,,,,,
9/20/2023,6.7056,80.3847,Rathnapura,130m,5.6,80%,Bad,None,,,,,,,,,,,
9/20/2023,6.7056,80.3847,Rathnapura,130m,4.1,65%,Bad,None,,,,,,,,,,,
9/20/2023,6.7056,80.3847,Rathnapura,130m,4.9,45%,Bad,5.1,,,,,,,,,,,
9/20/2023,6.7056,80.3847,Rathnapura,130m,8.1,65%,Bad,5.1,,,,,,,,,,,
9/20/2023,6.7056,80.3847,Rathnapura,130m,5.9,23%,Bad,None,,,,,,,,,,,
9/20/2023,6.7056,80.3847,Rathnapura,130m,5.3,25%,Bad,None,,,,,,,,,,,
9/20/2023,6.7056,80.3847,Rathnapura,130m,6.7,78%,Good,3.7,,,,,,,,,,,
9/20/2023,6.7056,80.3847,Rathnapura,130m,6.6,65%,Good,6,,,,,,,,,,,
9/20/2023,6.7056,80.3847,Rathnapura,130m,5.9,64%,Good,None,,,,,,,,,,,
9/20/2023,6.7056,80.3847,Rathnapura,130m,3.2,34%,Bad,None,,,,,,,,,,,
9/20/2023,6.7056,80.3847,Rathnapura,130m,6,78%,Good,None,,,,,,,,,,,
9/20/2023,6.7056,80.3847,Rathnapura,130m,5.8,69%,Good,None,,,,,,,,,,,
9/20/2023,6.7056,80.3847,Rathnapura,130m,6.3,98%,Bad,None,,,,,,,,,,,
9/20/2023,6.7056,80.3847,Rathnapura,130m,6.3,94%,Bad,None,,,,,,,,,,,
9/20/2023,6.7056,80.3847,Rathnapura,130m,5.8,23%,Bad,None,,,,,,,,,,,
9/20/2023,6.7056,80.3847,Rathnapura,130m,5.5,70%,Bad,None,,,,,,,,,,,
9/20/2023,6.7056,80.3847,Rathnapura,130m,7.9,35%,Bad,4.2,,,,,,,,,,,
9/20/2023,6.7056,80.3847,Rathnapura,130m,5.6,88%,Bad,None,,,,,,,,,,,
9/20/2023,6.7056,80.3847,Rathnapura,130m,6.1,83%,Bad,None,,,,,,,,,,,
9/20/2023,6.7056,80.3847,Rathnapura,130m,5.5,73%,Bad,5.1,,,,,,,,,,,
9/20/2023,6.7056,80.3847,Rathnapura,130m,5.9,64%,Good,None,,,,,,,,,,,
9/20/2023,6.7056,80.3847,Rathnapura,130m,5.8,38%,Bad,None,,,,,,,,,,,
9/20/2023,6.7056,80.3847,Rathnapura,130m,5.9,77%,Good,None,,,,,,,,,,,
9/20/2023,6.7056,80.3847,Rathnapura,130m,6.6,45%,Good,None,,,,,,,,,,,
9/20/2023,6.7056,80.3847,Rathnapura,130m,6.1,48%,Good,None,,,,,,,,,,,
9/20/2023,6.3162,80.8433,Rathnapura,64m,5.5,85%,Bad,None,,,,,,,,,,,
9/20/2023,6.3162,80.8433,Rathnapura,64m,5.9,80%,Good,None,,,,,,,,,,,
9/20/2023,6.3162,80.8433,Rathnapura,64m,6,22%,Bad,None,,,,,,,,,,,
9/20/2023,6.3162,80.8433,Rathnapura,64m,6.2,50%,Good,None,,,,,,,,,,,
9/20/2023,6.3162,80.8433,Rathnapura,64m,5.9,45%,Good,None,,,,,,,,,,,
9/20/2023,6.3162,80.8433,Rathnapura,64m,5.8,32%,Bad,None,,,,,,,,,,,
9/20/2023,6.3162,80.8433,Rathnapura,64m,5.8,33%,Bad,None,,,,,,,,,,,
9/20/2023,6.3162,80.8433,Rathnapura,64m,5.5,20%,Bad,None,,,,,,,,,,,
9/20/2023,6.3162,80.8433,Rathnapura,64m,5.8,53%,Good,None,,,,,,,,,,,
9/20/2023,6.3162,80.8433,Rathnapura,64m,5.8,56%,Good,5.5,,,,,,,,,,,
9/20/2023,6.3162,80.8433,Rathnapura,64m,5.9,60%,Good,None,,,,,,,,,,,
9/20/2023,6.3162,80.8433,Rathnapura,64m,5.4,65%,Bad,None,,,,,,,,,,,
9/20/2023,6.3162,80.8433,Rathnapura,64m,5.9,57%,Good,None,,,,,,,,,,,
9/20/2023,6.3162,80.8433,Rathnapura,64m,6,45%,Good,6,,,,,,,,,,,
9/20/2023,6.3162,80.8433,Rathnapura,64m,5.8,46%,Good,None,,,,,,,,,,,
9/20/2023,6.3162,80.8433,Rathnapura,64m,5.6,48%,Bad,None,,,,,,,,,,,
9/20/2023,6.3162,80.8433,Rathnapura,64m,4.5,47%,Bad,5.1,,,,,,,,,,,
9/20/2023,6.3162,80.8433,Rathnapura,64m,5.7,52%,Bad,5.1,,,,,,,,,,,
9/20/2023,6.3162,80.8433,Rathnapura,64m,6,55%,Good,None,,,,,,,,,,,
9/20/2023,6.3162,80.8433,Rathnapura,64m,5.7,52%,Bad,4.2,,,,,,,,,,,
9/20/2023,6.3162,80.8433,Rathnapura,64m,6.8,53%,Good,None,,,,,,,,,,,
9/20/2023,6.3162,80.8433,Rathnapura,64m,6.5,42%,Good,4.2,,,,,,,,,,,
9/20/2023,6.3162,80.8433,Rathnapura,64m,7.5,45%,Bad,None,,,,,,,,,,,
9/20/2023,6.3162,80.8433,Rathnapura,64m,7,50%,Bad,None,,,,,,,,,,,
9/20/2023,6.3162,80.8433,Rathnapura,64m,7.8,53%,Bad,None,,,,,,,,,,,
9/20/2023,6.3162,80.8433,Rathnapura,64m,7,62%,Bad,None,,,,,,,,,,,
9/20/2023,6.3162,80.8433,Rathnapura,64m,4.6,58%,Bad,None,,,,,,,,,,,
9/20/2023,6.3162,80.8433,Rathnapura,64m,6.1,45%,Good,None,,,,,,,,,,,
9/20/2023,6.3162,80.8433,Rathnapura,64m,5.8,54%,Good,None,,,,,,,,,,,
9/20/2023,6.3162,80.8433,Rathnapura,64m,5.8,60%,Good,None,,,,,,,,,,,
9/20/2023,6.3162,80.8433,Rathnapura,64m,6,58%,Good,None,,,,,,,,,,,
9/20/2023,6.3162,80.8433,Rathnapura,64m,6,65%,Good,None,,,,,,,,,,,
9/20/2023,6.3162,80.8433,Rathnapura,64m,5.8,62%,Good,None,,,,,,,,,,,
9/20/2023,6.3162,80.8433,Rathnapura,64m,7.5,64%,Bad,None,,,,,,,,,,,
9/20/2023,6.3162,80.8433,Rathnapura,64m,5.8,63%,Good,None,,,,,,,,,,,
9/20/2023,6.3162,80.8433,Rathnapura,64m,7,58%,Bad,None,,,,,,,,,,,
9/20/2023,6.3162,80.8433,Rathnapura,64m,7,54%,Bad,None,,,,,,,,,,,
9/20/2023,6.3162,80.8433,Rathnapura,64m,7,42%,Bad,None,,,,,,,,,,,
9/20/2023,6.3162,80.8433,Rathnapura,64m,3,43%,Bad,None,,,,,,,,,,,
9/20/2023,6.3162,80.8433,Rathnapura,64m,7,48%,Bad,None,,,,,,,,,,,
9/20/2023,6.3162,80.8433,Rathnapura,64m,6,47%,Good,None,,,,,,,,,,,
9/20/2023,6.3162,80.8433,Rathnapura,64m,5.9,45%,Good,None,,,,,,,,,,,
9/20/2023,6.3162,80.8433,Rathnapura,64m,6.4,51%,Good,None,,,,,,,,,,,
9/20/2023,6.3162,80.8433,Rathnapura,64m,6.1,53%,Good,None,,,,,,,,,,,
9/20/2023,6.3162,80.8433,Rathnapura,64m,6,55%,Good,None,,,,,,,,,,,
9/20/2023,6.3162,80.8433,Rathnapura,64m,7.3,60%,Bad,7.3,,,,,,,,,,,
9/20/2023,6.3162,80.8433,Rathnapura,64m,7.4,67%,Bad,None,,,,,,,,,,,
9/20/2023,6.3162,80.8433,Rathnapura,64m,7.8,63%,Bad,None,,,,,,,,,,,
9/20/2023,6.3162,80.8433,Rathnapura,64m,6.3,65%,Good,None,,,,,,,,,,,
9/20/2023,6.3162,80.8433,Rathnapura,64m,7.1,64%,Bad,None,,,,,,,,,,,
9/20/2023,6.3162,80.8433,Rathnapura,64m,6.2,68%,Good,None,,,,,,,,,,,
9/20/2023,6.3162,80.8433,Rathnapura,64m,6,69%,Good,None,,,,,,,,,,,
9/20/2023,6.3162,80.8433,Rathnapura,64m,5.8,55%,Good,None,,,,,,,,,,,
9/20/2023,6.3162,80.8433,Rathnapura,64m,6.4,52%,Good,None,,,,,,,,,,,
9/20/2023,6.3162,80.8433,Rathnapura,64m,6.4,45%,Good,None,,,,,,,,,,,
9/25/2023,7.3135,80.3881,Kegalle,87m,6.5,47%,Good,None,,,,,,,,,,,
9/25/2023,7.3135,80.3881,Kegalle,87m,6.2,44%,Good,None,,,,,,,,,,,
9/25/2023,7.3135,80.3881,Kegalle,87m,2,23%,Bad,None,,,,,,,,,,,
9/25/2023,7.3135,80.3881,Kegalle,87m,6,45%,Good,None,,,,,,,,,,,
9/25/2023,7.3135,80.3881,Kegalle,87m,5.6,45%,Bad,None,,,,,,,,,,,
9/25/2023,7.3135,80.3881,Kegalle,87m,7.4,80%,Bad,None,,,,,,,,,,,
9/25/2023,7.3135,80.3881,Kegalle,87m,5.6,56%,Bad,5.1,,,,,,,,,,,
9/25/2023,7.3135,80.3881,Kegalle,87m,6.4,90%,Bad,None,,,,,,,,,,,
9/25/2023,7.3135,80.3881,Kegalle,87m,5.5,91%,Bad,None,,,,,,,,,,,
9/25/2023,7.3135,80.3881,Kegalle,87m,6.9,93%,Bad,None,,,,,,,,,,,
9/25/2023,7.3135,80.3881,Kegalle,87m,6.3,85%,Bad,None,,,,,,,,,,,
9/25/2023,7.3135,80.3881,Kegalle,87m,6.2,50%,Good,None,,,,,,,,,,,
9/25/2023,7.3135,80.3881,Kegalle,87m,6.1,58%,Good,None,,,,,,,,,,,
9/25/2023,7.3135,80.3881,Kegalle,87m,5.2,45%,Bad,None,,,,,,,,,,,
